"","score","text","level.score","level.text"
"195",  0," reflect onthis every pres health ranked obama came in second  had an outstandingly clean bill of healthtrump ranked  on the list after lincoln  both pres bushes becuz u r borderline obese and have elevated cholesterol and blood pressure levels obama aces u out again ",Neutral,NA
"196",  2," the election results were definitely impacted you used the russians illegal dem email hacking on the campaign trail you won by only  votes in  swing states lost the popular vote bigly everyone knows youre not a legitimate president",Positive,NA
"197", -2," dude every true american knows the buck stops with you youre the filibuster the cancer the plug to all the good that the dems are trying to do for us true americans",Negative,NA
"198", -1," you are really in panic mode now arent you",Negative,NA
"199",  0," worst president in history",Neutral,NA
"200", -1," just read a tweet about a boy shot  times in florida blocking the door from the gunman hes still struggling in the hospital then i read your tweet about oprah get a clue about what is really important",Negative,NA
"201",  3," i think you have clarified yourself ok so why do u have to tweet  i quoteit might be a  lb genius sitting in bed playing with his computer i mean really why diss on over weight people  computer geniuss what do you hope to accomplish by saying things like this why",Positive,NA
"202",  4," id say happy presidents day but you dont act like a president you act like a selfish spoiled child you are a placeholder till we can elect someone competent please resign",Positive,NA
"203",  1," friends  omfg",Positive,NA
"204", -5,"   any russians there shoving cash up all the trumps assholes how about those two ladies you screwed with that teeny weenie little potus of yours did your fat gut obstruct mr penis from reaching malaria will be leaving your mr pig believe me  go suck putin",Negative,NA
"205",  0," screw u",Neutral,NA
"206",  1," definitely reflecting on the time when an adult used to hold the office of us president ie not you",Positive,NA
"207", -3," keep pandering to the toothless uneducated redneck trash of america they along with russia elected you",Negative,NA
"208", -1," without a doubt lots of reflection",Negative,NA
"209", -1," while you disgrace the office of the presidency each and every day i mourn this presidents day and long for honor to return to this once vaunted post",Negative,NA
"210",  1," how about a shout out for our fine athletes competing at winter olympic",Positive,NA
"211", -1," fuck off",Negative,NA
"212",  1," have fun cheating at golf so you can feel superior presidentsday",Positive,NA
"213", -1," youre the one who needs to reflect are you up to the jobanswer as youre probably stumped no",Negative,NA
"214",  0," shut up and golf",Neutral,NA
"215",  0," excuse me but fact is president obama leveled sanctions against russia which you refuse to enforce get your facts straight donald",Neutral,NA
"216",  1," happy presidents day to the truly majorityelected    not the unqualified pornstaraddict fakepotus  ",Positive,NA
"217",  2," the only way to be grateful for this presidents day is if somehow u were not the current president  i cant imagine a worst individual for the job",Positive,NA
"218", -1,"  resign",Negative,NA
"219", -2," incredible people how about heartbroken in shock people you did not care all you cared about was getting to your golf game coward",Negative,NA
"220",  0," why dont you reflect by looking in a mirror you mtherfn piece of sht",Neutral,NA
"221",  3," was he a horse stable genius like you   yeah youre a genius when compared to horses but sorry thats about it",Positive,NA
"222",  4," presidents day would be even greater if you werent our president we can only pray for  to get here much sooner",Positive,NA
"223", -1," you arent worthy to clean oprahs boots sit down and shut up insecure little man we will all be celebrating when you resign or are arrested traitor",Negative,NA
"224",  1," all my mates are honouring decent presidents today  that does not include you im afraid",Positive,NA
"225",  2," thank you mr trump maga ",Positive,NA
"226", -1," idiotic u r",Negative,NA
"227",  1," u a joke trump do u really think ur even going to make it through ur st term blah ha ha ha ha ha ha ur the greatest disappointment ever resign and do this country a favor",Positive,NA
"228",  0," oprah insecure   lol project much  you are a child with child hands and childish playground insults",Neutral,NA
"229",  0," has zero to do with you scumbag",Neutral,NA
"230", -1," hey loonyou may have a minority of people fooled with all your lies and injust that you and your republican party are creatingbut we true americans are the majority we will no longer allow you to keep destroying everything our founding fathers createdwe will vote you out ",Negative,NA
"231", -1," jesus christ are you mentally ill such narcissism you truly are an embarrassment to the oval office",Negative,NA
"232",  2,"  it time to get nra controled republican out of office  especially the one in kansas who is giving away an ar  for vote",Positive,NA
"233",  1," she has no qualifications to run for president she also is a racist she has proved that many times what will the dems come up with next",Positive,NA
"234", -6," impeach  trump he is a shit hole russia treason p sanctions now gun control ar should not be sold in america used in the military  ar  rifle to kill humans ",Negative,NA
"235", -1,"  innocent people are dead and all you care about is the russian investigation show some damn respect you fucking orange nutcase",Negative,NA
"236",  1," yes they succeeded and you assisted by gaslighting the us public using trump tv and twitter for your disinformation and propaganda campaign",Positive,NA
"237",  0," we mustve been watching some different",Neutral,NA
"238",  1," we are a nation in mourning where are your tweets to the families as they bury their loved ones where is your respect for our people wecallbs",Positive,NA
"239",  4," heres a news flash for you donnie do little this isnt your personal day its not a holiday for you it is a day to honor all of the real presidents a day that like the job you hold youre not qualified for",Positive,NA
"240", -1," stick your putter up your ass shitholepresident shitholepresidency shitholerepublicans",Negative,NA
"241", -1," lol u nervous bro",Negative,NA
"242",  3," my journal reflectionwow my president is garbage in humane and wellfunded by the nra he has done nothing for the peoples safety but i did get  beautiful gay years with obama and today im grateful emo liberal",Positive,NA
"243",  0," trump im gonna pray for you its not my will that any man perish but that all turn and repent leave the fbi alone dont repent to the pope or ill take my prayer back every ones bashing you if every body starts  you its on never get mad it makes you stupid funerals",Neutral,NA
"244",  0," john how do you stand up at the podiums im asking because its obvious you have no spine so is it prosthetic device ",Neutral,NA
"245", -1," dont you have some shit to do",Negative,NA
"246",  1,"   you guys are looking at a landslide defeat to the democrats wthese teenagers if you dont do somethinganythingto protect these kids im sure you can come up wan effective law that everyone wbe ok with double your voting base do something that matters ",Positive,NA
"247",  0," yet still no sanctions",Neutral,NA
"248",  0," insecure oprah youre the one whos constantly throwing tantrums in public",Neutral,NA
"249", -1,"  people dead gunreformnow guncontrol guncontrolnow",Negative,NA
"250",  1," so what mr unbiased",Positive,NA
"251", -1," how about you reflect on all the mean things that you say about people how about you reflect on the children murdered in florida and all you care about is yourself",Negative,NA
"252",  1," you didnt win donnie hillary won by over  million votes how does it feel to be an illegitimate president loser",Positive,NA
"253", -3," liar and crook we know your guilty",Negative,NA
"254", -1," its presidents day dope not your day but all presidents day mostly the other ",Negative,NA
"255",  1," everyone is laughing because your the joke you werent elected president you cant figure this out yet you are a moron",Positive,NA
"256", -1," the insecurity is you",Negative,NA
"257", -1," you are a very sick man ",Negative,NA
"258",  1," you are such a child",Positive,NA
"259",  1," im reflecting on a life before you took office  it used to be great",Positive,NA
"260",  2," well reflect on the fact that our presidents were once great",Positive,NA
"261",  1," i will reflect on  of our presidents",Positive,NA
"262",  0," fuck youyour not my president obama is and will always be till your history your words mean nothing to us real americans",Neutral,NA
"263",  5," you showed great strength and courage god bless you",Positive,NA
"264",  2," reflective thats all we can do reflect on the fact that we dont have a real president",Positive,NA
"265", -2," are you reflecting the sun off your butt on the golf course while florida children are being buried by their families youre despicable",Negative,NA
"266",  0," im embarrassed for you that you would post this  maybe you should try reflection",Neutral,NA
"267", -1," you should be worried about how can you improve guns laws and keeping them out of the wrong hands instead of oprah",Negative,NA
"268",  0," happy  presidents day you should take your own advice take a long hard look at yourself and ask yourself do you really want to keep doing this job america hates you resign",Neutral,NA
"269",  1," enjoy golfing dickhead",Positive,NA
"270",  3," do you still think youre a real president or did russia help get you elected fakepresident",Positive,NA
"271", -5," insecure biased exposed defeated are you feeling hopeless  u cannot take fitting words from ur life and shove them onto our queen  mueller where art thou get this your little weasel please ",Negative,NA
"272",  1," gen mcmasters is not special counsel mueller   and he knows nothing about muellers evidence in your collusion with russia you just threw people under the bus left  right thinking you could get away with anything  everything now they have come back to bite you on the ass",Positive,NA
"273", -2," insecure wtf  we know this she would do a lot better job than you we know shes honest not a lying sack of shit like you and she cares about other people unlike our narcissistic sociopath president you are a crook a liar a self admitted serial sexual predator  traitor",Negative,NA
"274",  2," im sure those families who dont have their loved ones here bc of gun violence will reflect those who are in fear of family deportation will reflect those whose health coverage youve removed will reflect  you will golf you   are groupofpredators",Positive,NA
"275",  4," my god the gop president and congress couldnt even pass a bump stock banthis is a truly sexy man ",Positive,NA
"276",  1," i just love seeing the uneducated trumpanzee base tweet bat shit tweets dont worry your stupidity is well noted here no one on earth but you rejects will honor this shit bag trash bag of a president but you all to me you  get as much honor from me as shitcorn",Positive,NA
"277", -2," i dislike oprah but i hate you",Negative,NA
"278", -1," which means you won a biased election so basically youre presidency is illegitimate how does that feel",Negative,NA
"279",  0," reads trump has arrived have you  your entire family is corrupt  little donnie is a private citizen so it is",Neutral,NA
"280", -1," liar",Negative,NA
"281",  4," how about reflecting on the young people who are protesting outside the white house just to feel safe in their schools  oh right you are golfing",Positive,NA
"282",  0," maga ",Neutral,NA
"283",  3," thank you  to the greatest president in the world",Positive,NA
"284", -2," exposed  do you mean making money the legal way  dont worry you wont last  so you wont have to make a fool of yourself",Negative,NA
"285",  2," if you love the usa please speak up tell the government of russia to stop interfering with usa impose the russia sanctions that senate and house repulican majority has already passed with an overwhelming majority you were elected to make america great again  this is how",Positive,NA
"286",  1," sure people around the country can reflect on how much of a jackass you are",Positive,NA
"287",  2," dale earnhardt will be there watching the race  and he doesnt consider you a friend",Positive,NA
"288", -1," drop dead baldy",Negative,NA
"289", -1," its impossible for narcissists to be reflective",Negative,NA
"290", -6," you are the biggest fucking liar in the world how are your pants not on fire from the lies they should be on fire from the friction also fat ass",Negative,NA
"291", -1," you are an asshole",Negative,NA
"292",  1," a real president you are a coward ",Positive,NA
"293",  1," practice what you preach for once",Positive,NA
"294",  1," trump failing in love with russia trump and putin partying in russia fashion show trump need to stop attacking democrat for everything trump dont want attack russia because russia hacking election  trump fighing media russia trump and republican attacking our country hurt",Positive,NA
"295",  0," you too man",Neutral,NA
"296", -2," im reflecting upon how a moronic racist like you got elected oh yeah russia collusion whitesupremacists",Negative,NA
"297",  0," ty for urfamiliessacrificeenjoy tha links",Neutral,NA
"298",  2," today is for a president not a joke like you",Positive,NA
"299",  0," mad a woman of color has more money than you",Neutral,NA
"300", -2," and by the way youll be out of office soon and your idiot son and despicable sonin law will be in jail",Negative,NA
"301", -2," youre a complete lying piece of shit",Negative,NA
"302",  1," im reflecting on past presidents thanks president obama",Positive,NA
"303",  0," i hope you fall in the shitter",Neutral,NA
"304", -2," liar liar your pants on fire",Negative,NA
"305",  2," getting you elected caused and keeps causing the biggest discourse of all step down dipshit and let this country get back to being a democracy and start rebuilding its credibility with the rest of the world again",Positive,NA
"306",  1," of course they are  youre president",Positive,NA
"307",  2," have a happy day mr president",Positive,NA
"308", -1," we are reflecting on how to impeach you   nothing else matters  go mr mueller",Negative,NA
"309",  3," trust me were all reflecting on how much better a president obama was today",Positive,NA
"310", -1," why dont you ask hilary for a date already instead of continually pulling her pig tails",Negative,NA
"311",  2," you might want to reflect how much more effective youd be if you stopped tweeting yourself in the head",Positive,NA
"312",  0," dont mess with oprah dude if she decides to run you are toast",Neutral,NA
"313",  3," in the past you praised her but now that you think she might be a threat you start bad mouthing her as well just like you do everyone you perceive as a threat well except putin youve had your nose so far up his butt it should be permanently brown by now",Positive,NA
"314", -1," and whos watch was it under your cant blame obama for this one can you lol",Negative,NA
"315",  0," i agree please do take today to  be reflective look in the mirror admit to yourself all of you have done and resign benedictdonald",Neutral,NA
"316",  2," thanks president trump maga",Positive,NA
"317",  1," the logical thing for you to reflect upon today would be whats going to happen to you once youre impeached",Positive,NA
"318",  3," trump   happy presidents day mr president maga",Positive,NA
"319",  0," wehavenopresidentday ",Neutral,NA
"320", -1," you really are pathetic",Negative,NA
"321",  0," notmypresidentsday nevertrump itmfa",Neutral,NA
"322", -2," you have made putin proud by attacking your own countrymen while continuing to refuse to implement russian sanctions your cowardice on these sanctions is quite apparent you are a clear and present danger to our country and you need to be removed",Negative,NA
"323", -1," fuck you ",Negative,NA
"324",  2," and youve done what nothing the real blame goes to mcconnell who threatened obama a real president would do everything in their power to protect our country from hostile foreign powers youve had more time support of congress and done nothing",Positive,NA
"325",  3," its a great day to reflect on what it means to have a real president not the scrotus lockthemup muellertime ",Positive,NA
"326",  1," cant stop your mouth will be your end",Positive,NA
"327", -1," fuck uou",Negative,NA
"328",  1," i am reflecting on the  real presidents before you",Positive,NA
"329", -1," pathetic  ",Negative,NA
"330", -1," we are all reflecting on how the hell you got into the wh",Negative,NA
"331",  2," im reflecting on how great this day would be if you werent president",Positive,NA
"332",  3," yes i guess your rich business buddies do like the big taxes cuts you and your republican buddies gave them now they can pay more too your lawyers",Positive,NA
"333", -2," your such an asshole anything to try to deflect idiot ",Negative,NA
