"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
 -1," i forgot to mention that my pride and arrogance dont impact what other people think of me that only others prejudice towards me affects my opinion of them",Negative,
  1," yes  maga  years trump",Positive,
 -1," he didnt say any of that because it wasnt true of course you are saying it because you always say the opposite of the truth which means you are guilty as sin",Negative,
  0," gee donnie dipshit its almost like you are putting words in peoples mouths ",Neutral,
  1," please use my tax dollars to hire an english teacher",Positive,
  1," oh he also forgot to say im great in bed and how big i am ",Positive,
  0," he didnt forget just ask him",Neutral,
 -1," gen mcmaster didnt forget anything you sound panicky",Negative,
 -1," general mcmasters has more class then you and knows how to act like a big boy at big boy functionsdumb dumb",Negative,
  4," specialists were instructed topost content that focused on politics in the usa and to use any opportunity tocriticize hillary and the rest except sanders and trumpwe support them ",Positive,
  0," i guess youre forgetting that there still is an ongoing investigation yeah that must be it",Neutral,
  0," guncontrol",Neutral,
  0," horseshit",Neutral,
  1," general mcmaster forgot to say nothing",Positive,
 -5," if social media campaigns dont affect results why did your campaign dump millions of dollars into your social media campaigns no allegation in this indictment means exactly that no one thinks dumping millions of dollars into a propaganda campaign would have no effect",Negative,
 -1," we hate you",Negative,
 -1," guilty pleas and indictments build up tell your family to prepay their attorneys",Negative,
  1," general mcmaster forgot to tell you the lie i told him to tell you why cant these people working for me keep up with my lies all they have to do is watch  and  like i do so i know what im supposed to think and say trumprussia",Positive,
  0," omitted not forgot  big difference there mr articulate  most of us omit non truths",Neutral,
  2," dear mr trump i disagree the russian interference changed the results of the election by manipulating opinion against hillary and in your favor you stole the presidency and are not our president you can tweet and tweet but truth is truth",Positive,
  1," you are so full of hate i wonder how you sleep at night",Positive,
  1," what world do you live in",Positive,
 -1," he didnt forget he just refused to mislead our allies on something that every analysis to date has said cannot be proven",Negative,
 -1," this reads like random brain puke spewed onto twitter you have come totally unhinged and unfit for office an intervention is imperative",Negative,
  0," whos insecure now  liddle donnie draft dodger with his liddle thumbs working overtime  mueller got you cornered like a ratits coming",Neutral,
 -1," you still lost the popular vote asshole",Negative,
  0," he forgot to say it",Neutral,
 -1," spell treason",Negative,
 -2," he didnt forget dont put in your lies in other peoples mouths compulsiveliar youareugliestsoulihaveeverseen",Negative,
 -1," hey dt he didnt forget its all ab you",Negative,
 -3," the dossier originated with the rnc who commissioned it as opposition research against your candidacy in the primaries   this is a fact reince would have known of it maybe youve seen mention of this in the democraticmemo  please stop misleading people",Negative,
 -3," he didnt forget resignnowyoure bat shit crazy donalddunce",Negative,
  0," what makes you think he forgot maybe he just didnt want to lie",Neutral,
  3," fire the general he is not looking for the best interest of the nation",Positive,
  3," trump truly is a moronmcmaster told the reality of the situationits truth that bothers you the most trumpyou colluded with the russiansyou committed obstructionthe lies must stop trump",Positive,
 -1," you need mental health counseling ",Negative,
 -1," fact there are people i know personally who abandoned their vote for  because of all the negative fb  twitter post planted by russian trolls there is no doubt putins campaign helped  win",Negative,
 -2," guilty treasonous  cadet bone spur",Negative,
 -1," please go forward on this dont let the clintons get away with all the stuff they have donei am afraid after the russian indictments they will forget  about our crooked fbi and all the people here in our country that were committing crimes",Negative,
  1,"  never stop tweeting mister president",Positive,
 -1," theyre getting too close arent they  you feeling the heat",Negative,
  2," stop with the bullshit about uranium one asshole average intelligent  the majority of real americans know the truth stop insulting the intelligence of your base ",Positive,
  3," until we have laws protecting election integrity we will never know  paper ballots  vote by mail",Positive,
 -2," mr bozo get it into your tiny brain he didnt forget",Negative,
 -1," another whine  really check the calendar the election is over",Negative,
  0," he did not forget  he knows that statement to be unsubstantiated so chooses not to say it",Neutral,
  0," let him speak for himself",Neutral,
  0,"   ",Neutral,
  1," theres proof the russians swayed the election from the indictment outlining their operation  the obvious reality that u benefited from it that youre in the oval office  now the only people believing your claptrap are your sycophants that wont accept reality if it bit em",Positive,
  2," wow this has to be one of the saddest tweets youve ever tweeted  even you know you shouldnt be in that office",Positive,
 -2," he didnt forget to say a damn word you lying jackass liarinchief worstpresidentever muellertime trumpforprison",Negative,
 -5," liar scammer thief bully jerk traitor  ",Negative,
 -1," no he did not forget",Negative,
 -1," thats not what the indictment says perhaps you should not post these idiotic comments when have no idea whats in the document  just a thought",Negative,
 -1," we both know he didnt forget",Negative,
 -2," he didnt forget donny  he doesnt believe that along with all of your other conspiracy theories change the channel dude",Negative,
  3,"  i do not think mc masters truly supports you",Positive,
 -4," few people are dishonest enough to draw that conclusion but you and btw deflecting blame to others is no excuse for your inability to both punish russia for their actions and take steps to stop meddling in the future",Negative,
  1," soros dnc  moore are bigger criminals  election meddlers than russia california recruits illegals to vote clinton brazille wasserman shultz rigged primaries where is justice",Positive,
  0," he didnt forget hes actually read and understands the indictments you clearly have not and do not",Neutral,
 -4," general mcmaster did not forget he refuses to lie on the record for the cheeto mussolini and perjure himself or suborn treason you are confusing him with jared kushner who has forgotten hundred of russian contacts until the fbi found them for him",Negative,
  0," shut up",Neutral,
 -2," no he didnt forget to say that because he knows its not true everyone is waiting with baited breath until youre impeached and indicted for treason",Negative,
  0," mcmaster forgets nothing",Neutral,
  1," how about you run the country  stop worrying about what everyone says what are you the president of the united states or a yo girl",Positive,
  1," that isnt a solution",Positive,
 -2," oh no another racist right wing cracker up early from his rat hole",Negative,
 -2," you can deny it all you wantbut the election was influenced by the russians why dont you get on board and punish the russians",Negative,
  1," with todays technology we can install a tracking chip on every gun in america just to give the law time to react",Positive,
 -2," even with the collusion with russia crooked hillary still managed to lose the election ",Negative,
  1," insecure of course the election was swayed by russias help unless of course you think that ads rallies and social media marketing have zero impact given your comments on the impact of your twitter account we can only assume you know its a effective channel",Positive,
  1," the spin master ",Positive,
  2," good job",Positive,
  0," he forgot to say it because its bollocks",Neutral,
  0," crowdstrike atlantic councilsusan riceshawn henrymueller",Neutral,
 -4," he didnt forget it isnt true you are a pathological liar and the only dirty part of the dossier is the facts about you impeach indict",Negative,
  0," you are worst president ever",Neutral,
 -7," youre such a disgrace and embarrassment to our country you have no empathy for the children who are being buried today youre so focused on your malignant narcissism and selfish person hood that you cant see beyond the bleach blonde hair and the ugly soul",Negative,
  0," fake president traitor trump",Neutral,
  0," he didnt forget didnt say because that hasnt been proven one way or the other yet it certainly influenced the  election",Neutral,
  0," obstructionofjustice liarinchief babyhands",Neutral,
  4," yep  thank you mr president to telling them like it is maga trump ",Positive,
  0," marchforourlives ",Neutral,
 -3," oh i do not think he forgot to say it he is just tired if covering for your butt the dominoes are falling loser",Negative,
  1," pretty sure mcmaster didnt forget anything",Positive,
 -1," you really are unstable",Negative,
 -1," you need to stop",Negative,
  0," regardless  still got more overall votes than you ",Neutral,
  0," he didnt say it because it isnt true",Neutral,
  0," he didnt forget you asshole its not a true statement and mcmaster is sooooo much smarter than you",Neutral,
  1," u r absolutely correct",Positive,
 -2," eat a dick you lying asshole",Negative,
  0," someones feeling muellers heatomfg rotflmfao",Neutral,
  1," no they didnt cause they live on this timeline not the skewed timeline you live in",Positive,
  0," liar there is collusion mueller just hasnt announced it yet better keep that fake mouth shut sooner or later you will be in prison for your crimes no mercy here",Neutral,
 -4," you mean your puppet didnt tell the lie you coached him onbad puppet ",Negative,
  7," your to cute i want to live in this fantasy world you have going on in your head seems likes a place where the truth doesnt matter and you never have to take responsibility for anything man wouldnt that be nice",Positive,
  0," when do you plan to implement the sanctions voted on by congress comrade trumpski america waits while the russians are already meddling in our next election resign",Neutral,
 -3," gen mcmaster didnt forget he didnt lie the election results were impacted a  million vote difference in pop v ec  cheating full stopyouare notlegit",Negative,
  0," he has spoken ",Neutral,
  0," the pisstape",Neutral,
  0," maybe he forgot because it isnt true",Neutral,
 -2," no  he didnt forget  he knows your game",Negative,
 -3," its there any doubt why the need to bring fake news",Negative,
 -3," we all know youre trying to get rid of mcmaster keep shopping seems when you find someone with a conscience that wont lie for you you automatically going to your smear campaigns mcmaster is confronting putin you spent the weekend confronting traumatized children",Negative,
  1," i think general mcmasters said exactly what he meant he doesnt need you to clarify for him",Positive,
 -1," im about to throw up at your ignorance",Negative,
  0," you lost the popular vote by  million votes",Neutral,
  0," bullshit everyone including you know you are and incompetent illigetimate non president gohome",Neutral,
  0," impact is not a verb",Neutral,
  3," mr presidentthe clintons are a crime family by definition you should not hold back sweep them off the stage lock them up in concert with obummer we did not have a th president they are responsible for genosidestay the course god bless",Positive,
 -3," yeah rightkeep deflecting lying and distracting clown  only the trumpanzees are ignorant  clueless",Negative,
  0," there goes another aide under the bus",Neutral,
  0," its keeping you awake at night rightmueller is closing in on you and your family",Neutral,
 -1," no he didnt forget you stole the election with help from russian we all know itpack your bags donnie",Negative,
 -1," again with the conspiracy theories to keep your base",Negative,
  1," general mcmaster one of the weakest generals to roam this earth",Positive,
  1," i think you seem pretty guiltysay no collusion a few more times its really helping",Positive,
 -1," maybe he forgot to say it because it not only isnt true its an outright baldfaced lie  muellertime ",Negative,
 -3," phuckoff and die loser by over  million pop votes",Negative,
 -2," hahahahaha  but it was impactedthats why there are  indictments you dumptard  he didnt forget anything youre trying to speak for him",Negative,
  0," russiaownstrump ",Neutral,
  2," just wait until you get indicted truth will come out fatboy",Positive,
 -2," relax why are you sooo defensive it makes you look guilty saw the photo of you in your golf attire in the nyt now thats a hard working man",Negative,
 -1," he didnt forget putin won your campaign sorry individual that u r",Negative,
  0," please move us forward and not always backwards",Neutral,
 -4," blah blah blah your a traitor you piece of ",Negative,
  3," first of all  no one knows if the results of the  election were impacted mind readers dont exist use some of your nra money to pay for a do over and we all will know",Positive,
 -1," deranged  ",Negative,
  1," dude you are still talking about the bs uranium story what ur doing is no secret anymoreyou are colluding with russia everyday and you continue your gaslighting enjoy your time in muellers crosshairs",Positive,
  1," projection at its finest",Positive,
  1," why do you try so hard to divert the blame to anything else except yourself school shootings hillary obama comeywhy not let due process run its course are you really under the impression that you are above the law not at this level maybe as a tv host but not the potus",Positive,
 -3," are you aware that american officials overseas are telling real foreign leaders to ignore you that means you are the only person who doesnt yet realize how impotent you are sad",Negative,
 -1," remember the only change in the gop platform that you wanted was to betray the ukraine when a country gives up nukes we need to protect them from nuke powers",Negative,
 -2," i think that would be been really weird and false if he had said that if mc master isnt following your commands to say crazy things anymorewhat could that mean",Negative,
  0," how do you know they werent impacted you dont you lie like a rug",Neutral,
 -2," more lies from dummy grump",Negative,
  3," when are you going to just shut up clinton didnt pay russia to lose election you helped them pave the way for you now they have their puppet and probably wish they didnt because you are not as smart as they thought",Positive,
  0," donald you accuse everyone of doing what you did it is as plain as the nose on your face",Neutral,
 -1," mcmaster didnt forget he just doesnt lie as much as you do  of course the russians  million a month campaign for you made a difference it not only got you elected now russia has you by the balls russiansanctionsnow",Negative,
  0," we do not know this yet as the investigation is not over mueller will get you for collusion and obstruction enjoy your cell at gitmo",Neutral,
  6," hillary clinton had the popular vote  you on the other hand only won because of the electoral college  just imagine that if you took away the electoral college and it was left to the people popular vote where would you be  thats right not in the white house ",Positive,
 -2," fuck off you russian stooge",Negative,
 -1," fdtand you forgot to say you lied ",Negative,
 -1," wow mueller  is a geniusgot you to admit russian collusion happenedyou idiot and can now begin the process of putting you and your trump boys in prison ",Negative,
  2," so what youre saying is you are only the president of people who voted for you no democrats great youre the bestdummy",Positive,
 -1," donald you are the most insecure president in our nations history at  you should have gained a splitter of wisdom  but unfortunately that isnt the case you are one pathetic sick child",Negative,
  0," literally no",Neutral,
 -1," you are so full of shit what a loser",Negative,
 -2," he didnt forget anything its very likely everything you put in this tweet is a lie",Negative,
 -1," you know what is in the dirty dossierright all dirty stuff like pee on you",Negative,
  2," still confirms you lost the popular vote hilary won the popular vote thanks for the confirmation",Positive,
 -1," crooked hilary and pedophile podesta traitors seeking our own uranium to russia",Negative,
  0," sometimes silence says it allyou are a looser",Neutral,
 -1," the investigation is the biggest waste of tax payer dollar  justice effort in the history of all time witchhunt zeroevidence hearsay maga",Negative,
  0," he didnt forget hes just thinks thats total b",Neutral,
  0," yeah he forgot ",Neutral,
 -2," if i were mcmaster id be incensed that this mostly incoherent president was trying to put words in my mouth this guy knows what he means to say he didnt say those things because theyre either not true not knowable or still being investigated",Negative,
 -1," tell me again about how insecure oprah is",Negative,
  1," fire the leadership of the fbi time is ripe as even these corrupt lib leaders admitted you werent involved and they just killed ",Positive,
  1," tick tock tick tock tick tock boom",Positive,
 -1," yes with the uranium one and the  plus million invested in the bill and hillary foundation does anyone really think the russians didnt want hillary time to fire corrupt leadership in the fbi for killing ",Negative,
  1," trump why do you continue to lie to the american ppl",Positive,
 -1," isnt it funny that everyone who cant protect him from the trouble he gets himself in becomes the next bad guymaturity theartofthepresidency",Negative,
 -3," and thats why you are on twitter to inform the uninformed may karma and the devil always take care of all your haters",Negative,
 -1," oh he didnt forget he just wont lie for you on it",Negative,
 -1," we all know that the dossier is true you did it all go back to new york where you belong we dont want you in dc and please get your filthy name off of the old post office building which we native washingtonian have revered for decades  or maybe yet another bankruptcy",Negative,
  0," you have no idea of the impact just fix the threat and lose your insecurity about your validity as president",Neutral,
  0," marchtrump is very realits happening  notarussianbot",Neutral,
 -3," i throw up a little every time i read your words  you cannit deflect your own guilt and your cronies",Negative,
 -1," why does it have to be one or the other you and hillary could both be crooked",Negative,
 -2," you are trying to deflect again donnie you are the threat that putin picked to put in office",Negative,
  2," what a complete waste of resources that the democrats have caused  they knew the real collusion was between was from their leader h clinton and russia  time for justice to be served them",Positive,
  0," why the fuck are you still talking about her the elections are over youre president shut the fuck up and act like it",Neutral,
  0," drumpf ur always in denial u know ur in bed with putin how can melania stay with u after the cash u paid for the playboy  stripper",Neutral,
  0," poor baby youre scared arent youthats probably smart trumprussia",Neutral,
  1," please stop inciting and baiting the people of this country let the investigation run its course and the chips will fall where they may can you not see how these tweets are causing strife between the people in the country youre supposed to be leading just please stop",Positive,
 -5," u suck bad hair little hands bad golfer ugly family no friends bad breathe",Negative,
 -1," umm he did not forget you are the ",Negative,
 -1," crazy",Negative,
 -2," what the hell are you just dumping all the fake news thats churning inside of your headobviously its driving you crazysorry you cant distract everyonewere staying focused on the factsthanks for the facts     ",Negative,
 -1," another fake alternate fact tweet from prez hairhat",Negative,
