Sentiment_Score,Tweets,Sentiment_level.score
6, i wish you the best you have the hardest job on earth god bless you and good luck dealing with all the people using such bad language,Positive
1,  so be it mr president a man of honour and words of encouragement,Positive
0, absolutely,Neutral
1, donald you are kind,Positive
1, while you actively try to wipe the accomplishments of the st black president and replace them with your own pseudoworkhypocrisy doublestandards,Positive
1, who are you coming together with white supremacists and russians,Positive
-1, i see marky mark is a fan not so much for the funky bunch huh,Negative
1, hmm seems lately that t is pushing religion needs support  hitting up christians,Positive
1,  talk in my opinion he has lost all creditablity with his back and forth take it the bathroom u have nothing i want to hear while u r at it go eat some cheese,Positive
-3,  don youre such a loser everyone knows that you dont give a crap about the peasants and certainly not black peasants privateer liar,Negative
2, honor the victims by supporting reasonable gun control,Positive
-1, bullshit u dont care and u know it ,Negative
3, thoughts and prayersso helpful especially from such a devout pos such as you ,Positive
2, no other president has ever done any thing like this that i can remember,Positive
1, every one knows what you are today you can not convince any of them shithole countries,Positive
2, thank you for that great acknownledgement gop,Positive
2, i long for the time when americans will celebrate our common history without the lens of color,Positive
1, why couldnt plain jane black folks sing why they always gotta be neon and weaved and tattd up,Positive
0, what his writers said vs what he said ,Neutral
1, ha ha ha ha says the man who considers neo nazis very fine people wearenotstupid,Positive
3, all from the comfort of being with hand picked people in the white house leave your perch you bird and visit the people who dont live in coal country,Positive
1, bring back family values ,Positive
-2, no gas tax and no sales tax  what is this a joke ,Negative
-3, fuck wait until the middle of february asshole,Negative
1, okay mr birther movement,Positive
1, yes may loard jesus  amen,Positive
0, th noah earth terotories,Neutral
0, are you secretly meeting with some of those people so your white nationalist dont get upset,Neutral
1, trump hates blacks snd anyone not white,Positive
-1, you are a hypocrite  you wii be impeached,Negative
0, donald didnt write this who had your phone,Neutral
1,  thank you for everything you do for african americans and all citizens of the us  magaforall,Positive
0, its mueller time,Neutral
1, thank you,Positive
-2, exploitation at its worst,Negative
0, thank you mr president for all you do for america many in our country in attempts to destroy her will criticize every action you take they will call you a racist bigot liar and many more things that should not be said ignore them we love what you are doing to maga,Neutral
-3,  the blood of all the people killed in these mass shootings is on your handsyou should be prosecuted for murder,Negative
2, great photo op for you  to bad you dont believe a word you just said,Positive
1, lol amazing,Positive
1, once again theres a room full of fools pretty damn disgraceful that they even got together with trumcp,Positive
1, who do you think your kidding stop supporting  the kkk,Positive
0, tamancok,Neutral
3, unlike you most people dont consider george wallace a civil rights leader,Positive
-2, you are seriously pathetic,Negative
-1, so i guess this means youre a big supporter of nfl player protests,Negative
-1, racist ,Negative
0, so true ,Neutral
0, name three,Neutral
0, name them bet you cant,Neutral
-1, fake antiracism,Negative
-2, which class are you talking about the blacks from the shit hole countries or the ones you keep in the back room when entertaining your friends at mar a lago   youve got a remember that the blacks are not going to be easily conned by your words everyone recognizes a kiss ass,Negative
-2, fake tweet from a fake man,Negative
3, this is a good step i hope everyday policy and actions reflect the sentiment lets not forget that african americans were bought sold and treated as property can you even imagine how it must feel to know that your ancestors went through that,Positive
0, that would include john lewis perhaps u know him,Neutral
2, nice speech my guy,Positive
1, dats rite peepsthe donald be keeping it real up in nyaw,Positive
-5, hypocrite bastard lying  liar  may your teeth all fall out ,Negative
0,  uh huh ,Neutral
2, did you openly congratulate mr cyril ramaphosa,Positive
2, so if these words are true so are mexicans asians europeans indians africans even humble eskimos now that you have spoken the words live it thru your actions no wall  rather embrace open and free travel the more you fear the more you attract that frequency and energy,Positive
2, beautiful president,Positive
1, get rid of the confederate flag,Positive
0, hey didnt i see my uncle tom in that audience,Neutral
1, please get rid of those curtains  it reminds me of obama  get rid of them asap please  thank you,Positive
0,  stop undoing this rtcc                      ,Neutral
-1, okay but trash nfl players for continuing the fight for civil rights by taking a knee  you confuse meprobably because you confuse yourself,Negative
-4, empty words from our racist and fake president sad,Negative
-1, stop proclaiming start doing you are taking this country into chaos by the way you seem to be cashing in so theres that,Negative
0, donald trump says something decenttogood lol drumpf didnt write this hashtagresist donald trump says something controversial or simply incorrect yep this definitely reeks of drumpf,Neutral
0, is dat wat people want from u,Neutral
0, effing hypocrite did u invite obama,Neutral
-1, fuck you puto,Negative
-2, god damn youve made that white house look tacky and trashy at least the singers bring some class to the place gross gold curtains tacky trump chandeliers and ill bet you have padded toilet seats installed if thats the sign of wealth then take my money away now,Negative
-3, you dont care what you are saying amateuryou never apologized for birthing obama saying racist shit against haiti etc,Negative
-2, the problem is the socialists dont let it sad,Negative
-3, you are fooling no one except your ignorant racist baseyou hate black people just like your father didand you are a nra puppet tick tock mueller time is near,Negative
0,  ghostwriter back on duty,Neutral
0, great coming from a bigot,Neutral
0, now that amirosa is gone you just got sleepy carson fraud,Neutral
9, president trump i want to head up a task force to put safety in our schools our children are precious and they deserve to be protected let me work with president trump to make our schools safe and great again,Positive
3, wonderful president trump,Positive
-1, idiot,Negative
2, the civil rights movement was not just about black people civil rights for women and poor people and negroes my mother worked three jobs and marched whenwver she could if a black man was not equal no way in hell would women,Positive
-2, youre such a piece of shit you say this because you have to not because you mean it,Negative
-1, you are a dismal actor  almost as bad at acting as you are at this job,Negative
4, your attorney general has rolled back civil rights decades,Positive
-5, wtf you know about african american history  last i checked your illegitimate unstable corrupt azz thought frederick douglas was still alive go stfu and resign you are not received by americans we despise you we loathe you we are praying for your immediate removal ,Negative
4, americas only hope top man your doing well sir,Positive
2, anybody that does not like mr trump can leave the usa and take some friends with you,Positive
4, that is good  that is whole i have found in my journey with the black man through trial  i have found that i love black african month  this is now a heritage to me  they look out for the people  not the white the yellow or the red  they were always good to me and should,Positive
0,  mlk never did anything for me,Neutral
1, so many wonderful contributions by african americans teachers  schools should be spending whole days this month teaching,Positive
-1, shut the fuck up trump you cunt,Negative
6, sir my daughter drives to her work place takes one hour when she leaves work another hours drive this hike will put a big dent in pay with transportation to and from her jobstudent loans car payment car insurance food gasoline oil changesshe needs every penny,Positive
0, black people as props nice,Neutral
1, i will bet that outside of fredrick douglas mlk and obama you cannot name five african americans or detail any accomplishmentscontributions they made,Positive
-1, great words from a racist too bad you dont believe a word of it,Negative
1, trump we all know what you are ,Positive
-1, from the idiot who calls whitesupremacists some very fine people,Negative
0, notimpressed,Neutral
1, can you name a single contribution potus ,Positive
1, look at my african american over here look at him are you the greatest,Positive
-1, border and even ferocious anger in some form for the g,Negative
-1, what would you know about sacrifice mr  scoops,Negative
-1, are you serious,Negative
-4, useless words from a bigoted racist,Negative
-1, ur so fake,Negative
-1, you dont mean what you say,Negative
1, kif it werent for trump twitter would be marginal at best,Positive
-1,  liar ,Negative
-1, u area racist,Negative
0, wow black history month started the first day of february and you are just making a pathetic effort to honor our african americans who greatly  contributed and fought for our country  a little late do t you think  oops forgot they are not from norway,Neutral
1, more racism from trump what about transgendered rabid sexual narcissists who think they are black who arent being included what about equal rights for psychopaths and pedophiles not my president,Positive
-1, name  without the help of a cue card stay on topic use complex adjectives dont brag about yourself as if you are one and dont sound condescending illwait,Negative
-1, racist asshat,Negative
0, if you want to keep dangerous weapons out of the hands of the mentally ill dont elect them president,Neutral
0, central park five,Neutral
0, fuq u,Neutral
0, boooooo,Neutral
-1, what a load of bs,Negative
1, yeah right,Positive
-1, its black history,Negative
-1,  who wrote this hahahahahahahahaha seriously who,Negative
1, i wonder how many u would have rented to,Positive
0, you dont even mean it you can barely read smdh,Neutral
2, wow trying to win votes when you are a kkk lover dont worry you have plenty of uncle tom that money has help them forget other africanamericans still been violated,Positive
-1,  come together really you have divided this nation  stop ,Negative
0, you must have someone else typing your tweets today  trumpisawhitesupremacist,Neutral
7, mr president i stand with you  i feel an answer is on the way to my prayers for you and america i fee god had a great plans for us  i also feel it wont be an easy road  however god is all powerful and he is going to see us trough  his blessing is on you and with you amen,Positive
2, dont know what it is but theres lot of hate being thrown around todaynot sure why but to those throwing it out there is that the way you want it does it make you feel betteris it helpfuldoes it accomplish anything positive im asking stop  reflect is this what i want,Positive
1, damnwifey wont even go near you bruh,Positive
0, looking for a  vote,Neutral
0,  bring motown back,Neutral
-1, melania hates you,Negative
3, dont forget booker t washington a great leader who has been buried by leftists who advocate identity politics not empowerment and acquiring skills ,Positive
1, free zakzaky h,Positive
0, freezakzakyfortreatment,Neutral
1, freedom for zakzaky h,Positive
-2, you lying racist fucker,Negative
-2, empty words from our racist president ,Negative
-3, we have not come together  you have divided this country in every way you encourage incite  promote violence  diversity at all levels you disgust me,Negative
1, how can you be so cruel to cut food stamps when they are already not enough,Positive
-2, and the majority of black people too damn ignorant to realize the slave owner democratic party still owns and pimps them,Negative
0, not sure if this is trump being clueless or the name actually got changed but isnt it black history month not africanamerican history month,Neutral
0, and your ag jeff sessions has ttied to turned the clock back with his jim crow moves,Neutral
5, welfare will always be abused as long as ppl get money  give commodities it will feed them but will also give them the incentive to get a job,Positive
-3, youre shallow thin skinned liar and cheat you want to solve the problems of a nation you cant even admit youre as bald as an onion  resisttrump ,Negative
-1, they know what you say about them fool,Negative
-2, our fbi is too occupied waisting time  energy on the witch hunt of collusion with russia therefore no time to follow up on anything else ,Negative
0, oh bull shit as if,Neutral
1, why is the civil rights movement only viewed from the african american perspective hawaii was annexed in   asians werent exactly equal back thenmexican zoot suit riots etc not minimizing african american struggle but expanding the racial paradigm blackhistorymonth,Positive
0, you hypocrite if you had your way the us would be white only,Neutral
0,                                             ,Neutral
0, you arent fit to utter their names,Neutral
-2, fuck you youre garbage you have no credibility youre not a billionaire racists and russians put you in power,Negative
-1, praying for all the victims of this terrible act,Negative
0, and all african americans should have boycotted this event,Neutral
-2, isnt this a huge hypocracy the drumpf who wanted teenagers killed a few short years ago because they were black this is the legacy of hypocracy,Negative
-1, anytime i see your dumb ass tweet something legible and grammatically correct i know someone else wrote it for you dump,Negative
5, mr trump has a pretty good speech writer or i should say twitter  writerticktock ticktock hes coming ,Positive
0, where did you find all those blacktors,Neutral
1, wow,Positive
4, i give you my love mr president djt straight from nigeria the world dont know that most of us nigerians loves you,Positive
2, when would you proclaim june as white american contribution month,Positive
3, thank you donald j trump we finally have a real president that understands we all bleed the same red blood,Positive
-2, sad day when people are celebrated for a month after being enslaved raped and murdered keep your month,Negative
-1, what do you care idiot get back on your gold toilet,Negative
-1, what you really want for black people after all only whitelivesmatter to you you said it not me ,Negative
0, dont forget to thank colin kaepernick either chump,Neutral
2, we have m retired trained military personnel in this country most fathers and gpas who would volunteer to protect our schools,Positive
0, i heard you cumed all over her,Neutral
4, keep up mr trump youre doin a great job d keep on being a good christian and dont let those democrats and elites corrupt you with their satans kabbalist legion unveil the truth and shake those illuminatis and freemasons nwo plans and youll really make america great again,Positive
1, not believable sorry don,Positive
-6, how you can say anything about africanamericans with a straight face and manage to think that your newest pen of poison proclamations mean anything is laughable  when you said shit hole countries and worse  you branded yourself as a racist and bigot,Negative
-1,  bwahahaha as if you give two shits for black people  take your prozac,Negative
0, fu,Neutral
3, how many times did you get sued and had to pay  to make sure no blacks moved into any of your apartment buildings president of the white supremacy,Positive
0, you didnt write this tweet,Neutral
1, you are not sincere,Positive
2, trump you are  not sincere,Positive
3, so while you come together to celebrate the extraordinary contributions of africanamericans to our nation  you come together to celebrate the extraordinary contributions of africanamericans to our nationcan you b anymore redundant,Positive
0, name one  come on without looking,Neutral
-4, fake fake fake fake,Negative
2, clown we dont want you speaking about the accomplishments of these great leaders youre a bitch tell us more about your dads role in the klan,Positive
-10, you are a hypocrite and racist and only speak of this because part of your base would object otherwise  however your white supremacist friends resent you for this too  oh what a dilemma for an idiot you are a tax cheater sexual predator traitor bigot and liar  impeach,Negative
1, african american huh the only one i know for sure is barack h obama,Positive
3, what an improvement over last year but of course that standard was pretty low hopefully you will start taking your st job more seriously now,Positive
-2, yeahso u say all the shot hole contries ure a discrace,Negative
0, did you mention the extraordinary contribution of having your predecessor be the first black president or maybe you mentioned how you repeatedly questioned his citizenship then called him a muslim as if that was some type of insult sad trumpisaracist,Neutral
-4, you can say that to your deplorable morons you sick bastard,Negative
-3, ever bang a black porn star in february  just an idea fatnixon have another   obstructionofjustice trumprussiacollusion ruleoflaw stormydaniels trumpracist traitortrump donthecon  resist moron itmfa maga,Negative
0, so true,Neutral
4, instead of supporting the nra and gun manufacturers who continue to pile cash into you campaign how about supporting the safety of the american people with effective gun control  what good is increasing military spending to protect the american people when theyre dying here,Positive
-1, i blame the gop and their minions for this continued catastrophe hiring additional policeman will not do the trick its better gun control why does a  year old have got an assault weapon to begin with why do terrorists and nuts continue to get guns,Negative
4, nice gesture this teleprompter trump vocabular and sentence structure are above his level,Positive
3, andwe thank the speech writer,Positive
2, beautiful way to celebrate life and your heritage,Positive
2, as an african american man i do not think donald trump is racist i think he is manipulative whatever size going to give him money thats the one he plays to you voters will pay,Positive
0,  democrats party of slaveryagainst civil rights actsen robt byrd kkkjimcrow now race baiters  bigoted sad,Neutral
1, this from the leader of the kkk,Positive
3, when do we celebrate what are great white fathers done for this country,Positive
2, good speech,Positive
1, good,Positive
0, youre not respected here get out of our house,Neutral
-3, you are a racist you words ring hollow mueller investigation continues,Negative
0, fools they think you care when indeed you are just using them to make a point that you are not a racist  ,Neutral
-4, nice try we know you are racist the hole black caucus could barely stomach you at the state of the union you are as fake as your hair and tan cheeto boy,Negative
-2, please fucking stop pretending,Negative
3, you are wonderful for honoring all of our heroes obama caused a lot of division thank you for helping us to come together again,Positive
0, we must never forget the price they paid with their lives to help this ongoing cause we have a long way to go,Neutral
-3, you might a lying m you dont give a f about no black people racist bastard,Negative
0, pppp,Neutral
1, for someone to describe themselves or anyone else as  africanamerican  is to talk total nonsense there are africans and there are americans individuals should make up their own minds which they are and declare their loyalty accordingly,Positive
4, i hear frederick douglass is up to great things so many great things he might even be tired of winning,Positive
-2, bullshit lying commi,Negative
-1, stfu you nra puppet,Negative
1, you are so full of shit no one likes you go away,Positive
-2, zip it  you have nothing to say about honoring african americans  nothing  go away you racist slug,Negative
5, nopenopenopeyou have zero rights to appropriate anything regarding civil rightsseems all that those heroes inspire in you is a desire to bury them,Positive
0, i can see you stay with the only care about themselves africanamerican,Neutral
0, i thought they were sons of bitches,Neutral
0, trump calls for healing after florida school shooting parkland,Neutral
0, ummm it took you half of the month to sign a proclamation,Neutral
2, and i often wonder why we dont also honor irishamericans danishamericans my ancestors,Positive
-1, save it sirglowalot you are a blatant racist ahole,Negative
0,  they were not blm terrorists either  peaceful resistance,Neutral
2, when do we get to have a white history month white skin can think just as much as any other skin color can think and white people have been slaves too and been savages hooray for the brain power of skin color trick or treat ho ho ho christmas trees are pagan symbols,Positive
4, the incredible potus that never sleeps work ethic work ethic    gods speed sir,Positive
0,  i hear frederick douglass has been doing a lot recently,Neutral
2, yes sir we remember president lincoln at the start of the civil war not one republican owned one slave gods speed sir,Positive
1, hias save iranian religious minorities,Positive
4, love our president beautiful speech,Positive
3, glad to hear that mr president were you able to get frederick douglas to attend your press conference,Positive
-1,  i alway wonders why there are so few of them in the republican party maybe  racism or the southern strategy   years of political dog whistles to racist ,Negative
-1, i thought he was racist ,Negative
3,  are you writing his tweets now or just a staffer with a better grasp of english and grammar i guess you just cant be sure he wont slip up and say shitole again shitholepresident,Positive
1, like you give a fk about africanamericans boybye,Positive
-1, fuck yes you did not write this at all you just cannot do it these are not your words,Negative
0, yes ive heard frederick douglass has done a lot lately  are you gonna have a photo op with him,Neutral
0, under youir socalled leadership this nation does not come together for any reason  youve sown so much chaos and hate that this mnation os more divided than at any time since the civil war  il sure that youre happy with this,Neutral
-3, the only black man you ever engaged with was probably a servant no one believes you youre the worst liar in our countrys history,Negative
-4, i didnt need you of all people to tell me were all created equal i read it in the bible years ago when i was a kid however the way you treat people that disagree with you is despicable wtf is wrong with you,Negative
0, maga makeamericagreatagain q,Neutral
1, galatians  stand fast therefore in the liberty by which christ has made us free and do not be entangled again with a yoke of bondage,Positive
1, you dont care about minoritys it was made painfully obvious when you repealed the dream act furthermore you targeted haitian immigrants,Positive
1, amen to that,Positive
0, this is not your writing style,Neutral
1, trump does these proclamations so he can sign his name to them  it is the only reason as an aside  his signature looks like a graph of a failed lie detector test,Positive
1, very good ,Positive
-2, watch  avoid the issue of guns like he was paid to oh wait  he was paid by the  somewhere around  million nra,Negative
1, did you invite frederick douglas,Positive
0,  who wrote this for youits to elqonent f o r you,Neutral
-2, stop lying racist,Negative
1, that is one crackerjack of a warm fuzzy speech,Positive
4,  hopefully the ghost of the civil rights movement haunts your white supremacist a for the rest of your bigoted life,Positive
4, your getting better everyday your becoming a very good president thank you,Positive
1, wheres your one black friend bencarson  oh thats right hes under investigation for wrongdoings at hud,Positive
8, this is a great encouragement to all peoples let us come together unity respect and celebrate each ones contribution to making america great again and each one of us serving we the people wow and again backwards wow,Positive
1, it an ounce of sincerity involved,Positive
-1, that means a lot coming from the racist in chief,Negative
0, how about a asian month this is the most bullshit deal,Neutral
-1,  its all on ur hands man child presno actionlots of  in your pocket by the nracost of childrens livesby an american againits all on ur watchnra profits  american lives lostour country sucks cause of ur inaction,Negative
2, god bless america ,Positive
0, like you care about black americans,Neutral
1, are you planning on having frederick douglass speak lot of people talking about him hes getting recognized more and more believe me,Positive
-1,   looks as if she is ready to fall over with boredom,Negative
0, are those your african americans,Neutral
0, you received over  million from the nrathoughts and prayers are useless ,Neutral
1, yea amen ,Positive
2, oh yah this is the month when you have to pretend to like africanamericans good job,Positive
-1, bigot,Negative
-1, its kinda sick that anyone can think that hes racist when theres no evidence except tweets like this that give evidence that hes not mypresident maga,Negative
0, someone else had to have written this lol,Neutral
-1, you could have kept that one we all know you give  fucks about black history ,Negative
3, whens white history month we should hurry up and celebrate it before white people are shamed away for nothing they have done,Positive
0, they dont seem to have inspired you repuglicans based on the blatant racism you displayed to president obama,Neutral
3, thank you president trump,Positive
2, remember mlk said each generation must reestablish peaceful acceptance,Positive
-1, copy paste tweet this is faketweet,Negative
1,  you really need to give your speech writer a raise we all know good and well these are not words youd ever say on your own i love when they force you to say things that make your skin crawl  liarinchief,Positive
-1,  hypocrite,Negative
0, what a load of bollocks did you mention shitholecountries,Neutral
