Sentiment_Score,Tweets,Sentiment_level.score
-2, how about all them shootings at the hands of americans i dont see any of them illegal immigrants america hates you,Negative
2, biggest treat to life is from us citizen white men with guns,Positive
4, nobody who loves the usa would support anything but squashing daca where it isreturn the heirs of other nations to their rightful inheritance ,Positive
-2, handcuffs  bars for you fool liar,Negative
1, reinstate the daca you undid  simple solution  you have created chaos where none was needed btwwe dont catch  release people,Positive
0, americans want daca to expire not amnesty,Neutral
1, worry about the home grown terrorists that you are supporting the maga white supremecist that murdered students,Positive
1, love grassley bill,Positive
-1,   bs,Negative
-1, didnt your family come here through chain migration as you call it most americans who had family come here in the late th and early th century did,Negative
0, well the past shooting have been not illegal immigrants but american white males,Neutral
-1,  bs,Negative
3, if your serious about making america great again then try doing something positive like give these kids in school protection,Positive
0, grassleybilldaca,Neutral
1, hush,Positive
-1, their message should get them in trouble,Negative
-1, so not true to think this country was based on immigrantsthis orange baboon seems to think its fakeoldnews and that his ancestors always lived in america no they didnt joffrey,Negative
-1, fu pig,Negative
3, market and so many great reporters i respect and lots of good news for the first  days  it has never been so much more very big financial impact,Positive
0, maga,Neutral
0, utahs magnificent capitol obamacare lie,Neutral
0, mueller is not going to play catch and release with you,Neutral
1, the only illegal is you why not file your taxes like the rest of the america and reveal all your businesses outside of the us and tell us about all the women you have paid for your sexual conduct,Positive
-4, the danger is already here its killing our children in their own schools fix that first you lying fuck,Negative
1, truth,Positive
0, im sorry which grassley bill the one that he wrote and you signed into law making it easier for mentally ill people to be able to buy guns or some other bill that didnt pass the senate on immigration which one,Neutral
-1, the only catastrophe is you if you want to help quit,Negative
-2, dont worry in gitmo you wont have to think of new lies,Negative
-1,  more fake news,Negative
-1, wrong,Negative
0, odd how you worry about immigrants yet most mass murders are committed by white americans,Neutral
-1, liar ,Negative
0, you mean the least supported one didnt you say youd sign whatever they brought you because you trusted them i do,Neutral
1, the only thing progressive socialist liberal democrats want is to finish obamas transformation changing america from the inside out  not for the good for our one nation under god  erode america as we know it,Positive
3,  republicans dont support the grassley bill why would you expect dems to arent you and the gop responsible for allowing people who are so mentally impaired they cant manage their own disability benefits to buy guns really,Positive
-1, dont give anyone a  path for breaking the law,Negative
-1, you dont care about law enforcement look at how you have treated the top law enforcement agencies in the country who protect you and the american people badly  you dont care about borders because you dont care about americans  putinspuppet illegitimatepresident,Negative
3, frankly my dear it sounds great the grassley bill sounds like it pretty much sucks,Positive
1, making america great again administration to move to mexico,Positive
-1, fact check trump suspended daca putting at risk deportation relief for  undocumented people who were brought to the us as children,Negative
1, yea the same lottery you have used for years to bring in domestic help and workers on building projects you fukng hypocrite,Positive
-1, the worst president in history who tried to destroy our democracy had no values or morals and who we are still trying to fix the damage he caused  how embarrassing for them if we had your immigration policies you wouldnt be here,Negative
6, never have i not respected a president no matter what party they were from  nor was i ever embarrassed as an american bc we have a potus with no morals values ir even an interest in anyone but yourself  your grankids will be in school being taught about,Positive
3, you are only interested in ripping families who contribute to the economy out  they pay taxes unlike you ,Positive
5, well wtf is your actual message do you favor law inforcement agencies or not on one hand your praise them such as this tweet on the other hand you shit all over the fbi whys that anyways either way you dont have a very coherent message for a leader lead asshole,Positive
0, ftp,Neutral
-4, read this earlier and paraphrasing easy solution to illegal immigration and our govt if you hire illegals you go to jail for yr  fine if youre a lobbyist ur shot spend more than  years in politics jail thats how sick and tired we are of criminal politicians,Negative
1, how do your inlaws fit into this picture,Positive
2, support the grassily report how bout the grass report that  of all americans want legalmedicalmarijuana mr president dont you think its time for a change please help,Positive
-6, blah blah blah what this country desperately needs is an impeachment of its crazy obese slob president,Negative
0,  noamnesty,Neutral
0, oh the same lottery that brought your in laws to the usa,Neutral
1, keep america safe forget the wall get rid of guns and trump,Positive
-2,  the same careless disregard for safety of citizens the fbi had in florida,Negative
-3, gun violence is a much more dangerous threat than immigrants who come here to make a better life for their family,Negative
-7, once again there more white terrorists domestic terrorist that you ignore every day while youre trying to pan this off on every other nationality youre disgusting and i cannot wait for the day they walk your ass into prison,Negative
0, all your secrets lies and crimes and will be uncovered ,Neutral
0, if your daca decision stands youre going to lose a lot of blue state republicans in congress you realize that right,Neutral
-1, do the democrats even realize that they lost the election and are in the minority the biggest reason trump was elected is the border wall and extremely tough immigration enforcement what the democrats are proposing is completely ridiculous and unpatriotic,Negative
-1, this is you killing daca again,Negative
1, stay strong on your commitment to end all the illegal trauma in our country you are doing a great job and the left hates it,Positive
-5, theres probably not a day and youre worthless life that you havent lied youre a disgrace to america you keep preaching to that small insignificant red hat wearing bunch of ignoramuses youre a punk,Negative
-1, just cuz you married an illegal please when are we getting this mad man out of office,Negative
-1, its a shame there were no immigration bans in place when your grandfather came to this country,Negative
1, please build the wall,Positive
-2, democrats know exactly what theyre doing democrats hv used immigrants refugees democrats failed these people yrs they could hv fixeddems did zip,Negative
1, yes mr president,Positive
0, you said it would all stop,Neutral
-2,  there royal idiots  everyone needs to vote them out there all haters,Negative
3, build the wall invest call china engineering they have experience in buildings wallas well some money back make wall as touristic attraction so tourist can watch desperat illegal emigrants attempt in to us ya funny ha ya resulution in solutions is always other way so analyze,Positive
-1, all westward tenants guest in emence bugerrapedangerspineclimepermdamageplease get him containeddoctorpracticeruinbyinforheadhandsomesplease extreme prossyasap,Negative
-2, lots or rs voted against you sad no power,Negative
-2, liar you have this blood on your hands ,Negative
-1, we call bs,Negative
-1, last time any grassley bill came out it allowed the mentally ill to get gunsand i believe you signed it fucktard,Negative
2, your tweets sound like ads for your next reality tv show ,Positive
-1, guy in my office won lottery lived in terrorist muslim country here  months brought over  relatives all on welfare and they all hate  digusting ms illegals destroyed ,Negative
0, they donot want to pass a bill,Neutral
0, why dont you request a law to ban ak and all other guns of this type  save the children,Neutral
-1, you are beyond words,Negative
0,  illegal inmigrants must be deported now if not with time they will get the nationality and with that they can vote for leftist democrats who want to let the entrance of more of they,Neutral
-2, daca was done illegally by obama its time for daca to end along with obamacare lets finally fix the immigration issues in this country once and for all dems you failed miserably when u had control by doing nothing tell us again how much ucare time to make a deal for daca,Negative
2, wrong they are standing up to you on your stupid wall that the majority do not want and do not want to pay for they need to continue sending you clean bipartisan daca bills so expose you for what you are nomilitaryparadenowall,Positive
-2, use your executive powers and order the daca out if the dems wont work a deal then throw them out tired of seeing aliens with protest signs on american soil we cannot go to mexico and protest there,Negative
-2, need gun regs too,Negative
6, do you even know what you are talking about even lottery visa winners have to go through an extreme vetting process  they dont just give them a ticket and say come yall in now  for fks sake read something and learn how it actually works youre supposed to be the president,Positive
-6, fear and division  dude ban assault weapons  low hanging fruit,Negative
1,  you dont even write your own tweets,Positive
0, did you know that in texas  if you are illegal and pregnant you get all your bills paid for free  they dont pay for anything   all the poor as people in this country that do work are paying for that bullshit,Neutral
1, if they break the law  send them back   why does our country let non us citizen have welfare   they come over here legally and the wifes with children get welfare how in the hell can they qualify for welfare when they are illegal immigrants  its bullshit,Positive
5,  grassley the same grassley who argued that  of americans dont deserve more money because theyll spend it on movies broads and liquor that grassley yeah imma gonna get on that for ya im sure it will benefit the common good for once also im selling this bridge,Positive
2, stay on them hard im with you president donald j trump were as country making it greater thanks for going and thanking first responders it means a lot for the people who care,Positive
-1, nobody cares today about immigration or your villianizing democrats you are complicit in the murders in florida blood money,Negative
0, old man you are misinformed dm me so i can tell explain to you how diversity lottery works the more you tweet about it the mo e you expose your ignorance,Neutral
0, what do you know about the lawyou have done nothing but flaunt the law to enrich yourself your family and rich cronies  i am so sick of you   what about the sanctions bill that was passed that you are ignoring what about due process for the women you sexually assaulted,Neutral
-1, meanwhile another brutal killing by a non immigrant trump supporter and the blood is on your hands after you signed the very bill that allowed it to happen twat,Negative
-3, wtf does immigrant children with the american dream in their head have to do with fucking guns to be used by the mentally ill you big dumb bitch,Negative
0, no daca no amnesty  no illegals in america deport all illegals and islamics out of america,Neutral
-2, close down lottery yourself,Negative
3,  schumer will do anything to protect his precious diversity lottery act,Positive
0, lol libs dont care about daca read the comments,Neutral
0, i dont like it when illegal immigrants demand rights all the sympathy i had for them is gone,Neutral
-12, unreasonable contemptible shameful disgraceful revulsion irrational disreputable reprehensible dishonorable contemptible injustice appalling ,Negative
0, grassley bill or bust  vote common sense and maga                    ,Neutral
-2, we still dont need a wall idiot,Negative
1, your a bunch of hot air grassley is a hippocrat also,Positive
-2, youre just afraid of brown people is all and you hide it behind rhetoric about criminals lost jobs murders rapesyoure just a racist donald its all in your head,Negative
1, and look at how many people they are killing so thankful you are our president,Positive
-2, daca is an unconstitutional fiat an overreach created by obama n congress must fix it dacas message welcome illegal aliens illegally cross our borders n bring ur children too once in the usa we will reward u wnonenforcement of our laws work permits daca etc,Negative
-1, what about melonomas parents  where are their papers   you have no problem with them being here,Negative
1, democrats just dont get it we want a wall and only legal immigration what the hell are they thinking actually we know exactly how they think sheesh,Positive
-3, you know the parkland shooter was a whitenationalist a maga boy an antisemite a racist rightnot a dreamer but a hater of dreamers,Negative
-1, how odd that yet another mass murderer of children was an american citizen,Negative
1, dummy don   you are the most powerless president of all time wife is an immigrant and lol that your own government doesnt follow your lead wheres the wall  shutdowns in a month all your lies are coming to light better than your tv show ever was p,Positive
0, you are mental,Neutral
-1, need to add melanias sister and parentsto your chain migration infograph ,Negative
0, same way your wifes family got into the country,Neutral
-1,  catch and release is the law dumbass look at the fifth amendment and the th amendment section  to change it the constitution would need to be changed,Negative
0, trumptweetingwolfagaim,Neutral
1,  please tweet the glasses bill so we all can read it  thank you,Positive
0, you got a pen and a phone mr president write veto and call and say elections have consequences  lol,Neutral
-1, implenttherusiansanctionstrump is a coward,Negative
-1, keep your veto pen sharp,Negative
0, trump seems to forget he ended daca,Neutral
1, like your inlaws,Positive
2, and what kind of wall do you propose for those who are not muslim or isis and are full grown raised and born north american terrorists,Positive
1, where are melanias parents free pass did they come over a walk,Positive
0, these people are not fish catchandrelease is goebbelsian,Neutral
0, why dont you talk about gun control instead,Neutral
-1, collusion,Negative
-3, we all hate you so much  go  take your family and go  you are ruining our country  you accepted  million in campaign donations from the nra  you pig,Negative
1, amen ,Positive
1, what can i do to help stop this,Positive
0, is that like catch and kill stories that your buddies buy to hide your affairs,Neutral
0, this stupid bill proves dems dont care about daca only votes,Neutral
-1,  abollish daca  immigration until no americans homeless then only select visitors  billofrights gitmotraitorousmediacrimes againsthumanity trumpetnews unrig transparency,Negative
-1, i dont know why you keep changing your mind about working with dems  schumer and pelosi had a plan and the next day you changed your mine what the hell is wrong with you,Negative
6, the world belongs to everyone in it people have a right to go where they want governments have no right to stop themyour wealth does not belong to you you only possess it because the people consent to your exclusive use of those resources soon we will revoke our consent,Positive
3, if merithbased is protecting to be human usa citizen  immigrants of the death ending ocare w new healthcare system more peoplell able beginn so great personal develop globalcoperation are very need because ist syck that usa steand supporting all deficit economy maga,Positive
3, there you go you cant keep your promises just cuz youre the president doesnt mean you could do anything you want we the people decide so get used to it this bill will pass,Positive
-1, deport me,Negative
0,  melania talking to you adulterer,Neutral
-2,  lottery should be dead and gone by now what the heck are the demoncrats doing,Negative
0, dems want his ows benefit only other new healtlaw by ending violence of criminals couldbe cannabis legalization w it caposll got his own mark  legal business also people may finished of take loud drugs indeed healthcare system willve quantity info for people growhealth,Neutral
6, remember you said youll make america great again well hows that working out did you move on so fast to what happen to  innocent life you need to take action cause just making idas wont get no where unless you use it,Positive
0, how about mitch mcconnell there is nut,Neutral
1, thats your damn probably dtop negotiating with peoples lives what about the ones who work for you are you going to have all deported as well you are a joke,Positive
2, grassley bill was doa get real  votes needed get out of the discussion you add nothing toward progress on this issue,Positive
0, catchandrelease  these are people not fish,Neutral
-4, stop trying to change the subject just give daca whatever it takes you created this problem ohhow about those russian sanctions you traitor resign movetorussiatrump,Negative
1, no matter what you try to do for this country they say no mr president i call them party of no no,Positive
-3, illegal didnt shoot in florida high school  guncontrol terrorism sickcountry stopthekilling shameofanation,Negative
0, hi punkinyou sound like gorka and bannonimmigrants are not source of all our problems and shame on you for implying thatpublish your taxes,Neutral
1, grassley shouldnt be allowed to write any legislature he killed president obamas rule sbout the mentally ill not being  able  to buy guns and look where we are   nothing will be  done because youre all cowards for the nra,Positive
0, dumptrump nomorewalls,Neutral
-2, go kiss grassleys you know what you are an idiot no offense to idiots,Negative
0, you are the cause and you back pedaling on daca,Neutral
-1, donald get used to it hate you,Negative
-2, hi punkinyou are portraying immigrants as mostly criminalyou are portraying immigrants as the source of our problemsthey are notimmigrants are per capita less likely to be criminal than americansps you canceled daca so dont attempt to spin it like its a dem issue,Negative
0, caca,Neutral
1, i agree daca recipients and those visa holders should be reporting into local authorities for tracking purposes once per month,Positive
3, apparently it works for fish that is what people have been treated like by the democratic party for years fish in a barrel,Positive
-6, americans are far more in danger from being killed by an american with a gun than any other threat keep daca seperate from your build a wall bullsht we dont need to waste billions of dollars on a wall that is useless,Negative
-2, get these scum bag pieces of shit out ,Negative
0, show us your taxes,Neutral
-1, who writes this misinformed stuff for you we all know you dont read anything yourself,Negative
-2, graham needs to take off the red tie and put on a blue on freakin bum stick to the  pillars that the president laid out anything less is garbage,Negative
0, notmypresident,Neutral
-1, you should worry less about the catch and release program and more about the catch and kill bill that didnt work out so well for the wife and newborn your character will be exposed to all your deplorables and theyll know they picked the man of their caliberdeplorable,Negative
-4, conflator in chief  your tactic to focus on a statistically small portion of violent crime committers is sad use of your leadership  devisive leadership is weak leadership  scapegoating is for dictatorships,Negative
0, build that wall and give rifles to security guards in our childrens schools that sounds like fear oopsfreedom to me more dead children more guns less immigrants,Neutral
1, no just no,Positive
0, what about your in laws mommy and daddy arent they here illegally just as your wife has,Neutral
-1, i think they should be a wallfor you  maybe four padded walls to keep you from causing anymore harm ,Negative
0, comrade trump you should call moscow for clarification on this file putin puppet collusion,Neutral
0, you were going to sign anything bipartisan now and may i add again you go back on your word  sad,Neutral
-1, then why does the us government help the mexican cartel maybe you guys should start there maybe that wall is to line your pockets and probably make a concentration camp and more slaves etc no good from this we need to work together globally money is no object we can do it,Negative
0, start a petition,Neutral
2,  was planned and perpetrated by the zionist and masonic factions that occupy the fed govt corporation called the district of columbia  dc a member and military wing of the  citi state empire london and the vatican city state,Positive
1, if then wow,Positive
0, bot,Neutral
-1, nddegreemurderchargehim murderer trumpkillsfornra nraisaterroristorganization nrabloodmoney trumpputinnrareasonstokill,Negative
0, how about melanies folks,Neutral
-2, why wont you concentrate on catching  convicting the russian criminals  american coconspirators who are attacking america why wont you lock them up andor deport them fakepotus traitortrump corruptgop,Negative
6, keep standing strong mr president i personally would tie the path to citizenship to the completion of the wall i dont trust the legislative branch or the judicial branch usually i dont trust the executive branch either and there are parts of it now i still worry about,Positive
1, open borders are what make us different from the iron curtain countries of the post ww era we welcome all what the fuck is your problem,Positive
-1, do you not understand how this works  since when does the lottery let completely random people in  they still need to be vetted  you are either ignorant or willfully misleading the herd that mindlessly believes everything you say,Negative
-2, baloney no matter how high the wall guns in our country are killing more people than wars you are the one who keeps americans in danger not immigrants,Negative
-1, idiot,Negative
-1, the biggest liar ,Negative
0, catch and release is bs  more fake news from the glorious leader,Neutral
-2, separate the two  holding decca hostage are we  no wall idiot,Negative
-2, you are an idiot and a disgrace to the world,Negative
-1, and what about your wife didnt her family migrated over here because she got her citizenship you are such a hypocrite,Negative
-1, what are you talking about illegal immigrants focus on the kids killing kids focus on the gun and enforcing policies,Negative
0, most of us are for the wall in your liberal enclaves you are in a bubble,Neutral
4, trump is making plans to award almost  m of them amnesty and this is seen as racism  it is easy to see who is stirring the pot and who is actually willfully ignorant of facts very sad,Positive
0, i thought the dems wanted the same thing does the american public have msm amnesia or is it alzheimers cant remember which,Neutral
-1, what happened to doing in approving whatever congress brought to the table you snake oil conman piece of crap,Negative
3, god bless our president usconstitution  onenationundergod ,Positive
1, the reason why you were elected was deport daca illegals  why are you doing right now,Positive
2, protect our great country buildthewall grassleybill godblessamerica,Positive
-1, stop the invasion americafirst maga ,Negative
1, mr president you have a very hard job,Positive
3, can we all agree that instead of banning muslims deporting daca  recipients and people with brown skin who only want to work and better  themselves and their families we should be banning russians,Positive
-1, still believe putin had nothing to do with this highly unlikely,Negative
0,  if daca was enacted with an executive ordercan it be repealed with the sameor just let it expire,Neutral
-1, embarrassment,Negative
-1, but you are allowing rich russians to come into your hotels and then have their babies here you are hiring illegal immigrants to work in your hotels your twits are hypocritical and or speaking with forked tongue as usual trying to keep what little base you have left,Negative
0, you are an idiot republicans can make or break the vote it is like you cannot count,Neutral
-2, ya know what they say more than a mouth fulls a waste stormy working the strip club maga ,Negative
-1, instead of focusing on immigrant fear focus on yourself you scare me more than any immigrant,Negative
0, these are not fish they are human beings,Neutral
1, show strength,Positive
-1, the idiot you who shot was he a dv lottery candidate,Negative
1, build the wall,Positive
0, nobody supports anything you do cheater,Neutral
0,  send jeff after them,Neutral
0, hey dipshit your wife and her parents duh,Neutral
-4, you need to be caught and jailed you cheater disgusting what you have done you dont winyou cheat,Negative
-2, pls just go away resign for the sake of our country  miion signatures and counting r demanding you resign,Negative
-2, think you need to be less worried about immigrants and more worried about white guys with legal access to guns,Negative
1, the rentacops who populate ice couldnt be real law enforcement guys so you have brutes bullies  bigots enforcing things like taking away water from folks taking successful fathers from their families etc etc etc,Positive
4, stand your ground for us mr president stay focused and firm against these so called negotiations that they think are good youre doing an amazing job and your supporters love you,Positive
1, we just lost a valued coworker not because she didnt want to stay but because she didnt get chosen in the lottery,Positive
-1, you are a total loser,Negative
0, dump trump,Neutral
3, the jumping the line chain lottery is just political bs and should be stopped right now just apply at the same time as  person living in america no needs for short cuts can i save a space in line at dmv for my whole family to cut the rest of the line with out getting other mad,Positive
-3, you should be more worried about your collision you idiot,Negative
